,age,gender,raceEthnicity,education,region,householdType,householdSize,career,workArrangement,annualIncome,sideHustleIncome,monthlyIncome,housingStatus,housingCost,propertyTax,hoaFees,homeInsurance,utilities,internet,phone,ownsCar,carPayment,carInsurance,gas,publicTransit,carMaintenance,healthInsurance,oopMedical,dentalVision,lifeInsurance,studentLoans,ccPayment,personalLoans,medicalDebt,groceries,diningOut,coffee,alcohol,streaming,musicStreaming,gaming,gym,otherSubscriptions,clothing,personalCare,householdSupplies,childcare,petExpenses,entertainment,hobbies,travel,gifts,donations,retirement401k,iraContribution,emergencyFundContributions,generalSavings,investmentContributions,contributions529,totalExpenses,totalSavingsInvestments,monthlyCashFlow,housingRatio,debtToIncome,savingsInvestmentsRate,carPaymentRatio,monthsSaved,financialHealth,ageCategory
0,35,Female,White,High School,South,DINKS,2,Retail,Office,30741.64,0.0,2561.8033333333333,Own,1699.04,141.59,0.0,161.8,203.1,72.24,91.74,True,0.0,208.33,215.75,0.0,108.47,630.91,253.06,32.63,0.0,0.0,33.95,0.0,0.0,535.11,211.29,1.98,80.8,56.83,0.0,0.0,0.0,56.62,103.46,104.34,130.23,0.0,0.0,100.49,0.0,29.91,104.82,0.0,0.0,0.0,0.0,143.09,0.0,0.0,5368.49,143.09,-2949.78,66.32,1.33,5.59,0.0,1.17,FinanciallyDistressed,30-35
1,65,Female,Black/African American,High School,South,Single,1,Retired,Retired,61059.58119370783,0.0,5088.298432808986,Own,1298.08,108.17,0.0,81.41,150.91,87.14,45.65,True,709.76,199.53,109.26,0.0,95.03,102.37,186.2,25.75,0.0,0.0,588.29,0.0,0.0,368.13,382.14,59.26,98.29,10.14,0.0,0.0,0.0,0.0,171.33,66.57,126.2,0.0,0.0,69.68,15.04,52.88,51.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5258.28,0.0,-169.98,25.51,25.51,0.0,13.95,0.07,FinanciallyDistressed,60-65
2,50,Male,Other/Multiracial,Bachelor's,Midwest,SingleParent,3,Healthcare,Office,57575.73,0.0,4797.9775,Own,1805.32,150.44,0.0,183.81,232.31,94.1,163.16,True,385.91,156.75,240.39,0.0,91.4,267.58,58.33,72.04,172.86,0.0,11.58,172.32,0.0,1134.44,265.84,6.92,92.87,31.8,0.0,0.0,61.16,36.69,71.65,141.73,154.24,0.0,0.0,43.27,89.37,84.82,105.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6578.61,0.0,-1780.63,37.63,11.88,0.0,8.04,0.93,FinanciallyDistressed,45-50
3,40,Female,White,Bachelor's,West,Single,1,Sales,Office,96389.51,0.0,8032.459166666667,Own,2286.14,190.51,0.0,175.2,128.24,71.4,56.57,True,912.47,229.91,235.68,0.0,143.89,191.66,288.96,66.75,90.21,231.8,49.99,0.0,0.0,437.96,597.45,37.81,123.23,12.69,15.39,0.0,0.0,0.0,383.77,86.06,107.14,0.0,0.0,147.07,0.0,248.83,129.29,0.0,0.0,0.0,563.03,0.0,391.92,0.0,7676.07,954.95,-598.56,28.46,14.87,11.89,11.36,1.17,FinanciallyStable,35-40
4,30,Male,Black/African American,Some College/Associate's,Midwest,SmallFamily,4,Service,Office,30245.27,0.0,2520.4391666666666,Own,1439.74,119.98,0.0,115.87,239.45,105.68,131.24,True,382.12,199.61,253.79,0.0,110.08,451.05,254.44,38.8,0.0,0.0,299.09,0.0,0.0,1339.21,398.41,17.76,141.73,40.0,13.76,0.0,0.0,0.0,53.46,178.72,182.83,890.46,72.68,67.81,45.34,25.03,32.54,0.0,180.84,0.0,74.07,0.0,0.0,0.0,7640.68,254.91,-5375.15,57.12,27.03,10.11,15.16,1.37,FinanciallyDistressed,25-30
5,30,Female,Hispanic/Latino,Some College/Associate's,Northeast,SmallFamily,4,Sales,Office,46519.03,0.0,3876.585833333333,Rent,2762.17,0.0,0.0,20.84,264.3,72.52,157.54,True,0.0,167.55,270.32,181.69,131.63,534.18,238.36,71.6,0.0,167.79,9.26,0.0,0.0,1478.71,350.64,62.6,122.73,28.41,0.0,0.0,94.44,0.0,152.52,284.59,167.27,0.0,0.0,75.5,0.0,186.97,100.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8154.86,0.0,-4278.27,71.25,4.57,0.0,0.0,1.17,FinanciallyDistressed,25-30
6,25,Female,Asian,Bachelor's,West,DINKS,2,Sales,Hybrid,59757.63,0.0,4979.8025,Rent,2627.72,0.0,0.0,16.07,174.33,55.0,55.9,True,0.0,234.8,118.6,0.0,145.38,164.26,160.46,0.0,0.0,0.0,5.1,0.0,0.0,772.91,317.11,75.89,196.55,36.48,0.0,0.0,42.64,0.0,91.84,140.91,94.46,0.0,0.0,169.35,0.0,189.75,46.94,0.0,252.82,0.0,0.0,0.0,0.0,0.0,5932.45,252.82,-1205.47,52.77,0.1,5.08,0.0,1.54,FinanciallyDistressed,25-30
7,55,Male,White,High School,West,SmallFamily,3,Admin,Office,45539.45,0.0,3794.9541666666664,Rent,2099.47,0.0,0.0,16.02,217.25,64.1,80.79,True,0.0,249.51,152.84,0.0,131.01,517.59,285.64,38.03,0.0,0.0,41.86,0.0,104.97,1037.22,226.51,19.65,80.67,14.82,0.0,0.0,0.0,0.0,148.87,101.65,78.51,0.0,118.35,63.99,111.13,184.85,63.53,0.0,553.96,0.0,0.0,0.0,0.0,0.0,6248.83,553.96,-3007.84,55.32,3.87,14.6,0.0,1.3,FinanciallyVulnerable,50-55
8,40,Male,Black/African American,High School,West,Single,1,Construction,Office,60221.82,7797.37,5668.265833333334,Rent,2473.57,0.0,0.0,28.37,152.01,78.59,65.38,True,777.33,127.52,169.08,0.0,144.3,178.12,172.46,0.0,0.0,0.0,0.31,0.0,0.0,330.35,322.45,82.38,47.8,25.33,14.06,0.0,92.57,0.0,102.87,45.85,120.34,0.0,0.0,48.48,16.06,97.14,130.1,0.0,384.22,0.0,135.2,210.18,0.0,0.0,5842.82,729.6,-904.15,43.64,13.72,12.87,13.71,4.16,FinanciallyVulnerable,35-40
9,45,Female,White,High School,Northeast,SingleParent,2,Transportation,Office,42396.6,0.0,3533.0499999999997,Own,2200.31,183.36,141.46,102.35,217.22,113.56,122.58,False,0.0,0.0,0.0,133.58,0.0,420.5,230.2,0.0,0.0,0.0,134.21,396.93,0.0,546.29,173.42,21.68,41.92,24.01,0.0,0.0,0.0,0.0,131.87,139.31,80.33,1666.17,0.0,81.65,37.77,53.3,106.54,0.0,182.37,0.0,170.66,0.0,0.0,0.0,7500.52,353.03,-4320.5,62.28,15.03,9.99,0.0,5.8,FinanciallyDistressed,40-45
