personID,age,gender,raceEthnicity,education,region,householdType,householdSize
1,35,Female,White,High School,South,DINKS,2
2,65,Female,Black/African American,High School,South,Single,1
3,50,Male,Other/Multiracial,Bachelor's,Midwest,SingleParent,3
4,40,Female,White,Bachelor's,West,Single,1
5,30,Male,Black/African American,Some College/Associate's,Midwest,SmallFamily,4
6,30,Female,Hispanic/Latino,Some College/Associate's,Northeast,SmallFamily,4
7,25,Female,Asian,Bachelor's,West,DINKS,2
8,55,Male,White,High School,West,SmallFamily,3
9,40,Male,Black/African American,High School,West,Single,1
10,45,Female,White,High School,Northeast,SingleParent,2
11,25,Female,White,Some College/Associate's,Northeast,Single,1
12,65,Female,White,Bachelor's,Northeast,DINKS,2
13,55,Female,Asian,High School,South,Single,1
14,30,Female,Black/African American,High School,Midwest,SmallFamily,4
15,30,Male,Black/African American,Bachelor's,South,SmallFamily,5
16,30,Female,Asian,Master's,South,SingleParent,2
17,30,Male,White,High School,Northeast,SmallFamily,3
18,40,Male,White,High School,South,SmallFamily,3
19,35,Male,White,Some College/Associate's,Northeast,SingleParent,3
20,30,Male,White,Bachelor's,South,SmallFamily,3
21,40,Male,White,Some College/Associate's,Midwest,SmallFamily,5
22,25,Male,White,Bachelor's,South,DINKS,2
23,30,Male,White,Master's,South,SmallFamily,3
24,35,Female,White,Bachelor's,South,SingleParent,2
25,35,Female,White,Some College/Associate's,West,Single,1
26,50,Male,White,Some College/Associate's,South,DINKS,2
27,30,Male,Asian,High School,Midwest,SmallFamily,3
28,40,Female,Hispanic/Latino,Ph.D,South,SingleParent,3
29,40,Male,Asian,Some College/Associate's,South,SingleParent,3
30,25,Female,White,High School,South,DINKS,2
31,40,Male,White,Bachelor's,West,SmallFamily,3
32,30,Male,Black/African American,Some College/Associate's,Midwest,SmallFamily,5
33,25,Male,White,Bachelor's,Northeast,DINKS,2
34,60,Female,White,Some College/Associate's,South,SingleParent,2
35,65,Male,White,High School,West,Other,3
36,50,Female,White,Bachelor's,Midwest,SingleParent,3
37,30,Female,White,Some College/Associate's,South,Single,1
38,25,Female,White,Some College/Associate's,West,Roommates,2
39,45,Male,Hispanic/Latino,Some College/Associate's,West,Other,4
40,35,Female,White,Bachelor's,South,SmallFamily,5
41,25,Female,White,Bachelor's,South,DINKS,2
42,35,Male,Black/African American,Some College/Associate's,South,SmallFamily,3
43,25,Male,White,Bachelor's,Midwest,DINKS,2
44,60,Male,White,High School,South,Other,3
45,30,Male,Black/African American,Master's,South,SmallFamily,3
46,45,Female,White,Some College/Associate's,South,SmallFamily,4
47,30,Male,White,Bachelor's,South,SmallFamily,3
48,40,Male,White,High School,South,SmallFamily,5
49,40,Female,White,High School,Northeast,SingleParent,2
50,30,Female,White,Some College/Associate's,South,SmallFamily,3
51,65,Female,Black/African American,Bachelor's,Midwest,DINKS,2
52,50,Female,White,Some College/Associate's,West,Single,1
53,60,Male,White,Bachelor's,Midwest,DINKS,2
54,55,Male,White,Some College/Associate's,West,SmallFamily,3
55,40,Male,White,Some College/Associate's,South,SingleParent,2
56,60,Female,Hispanic/Latino,High School,Northeast,DINKS,2
57,25,Female,White,Bachelor's,West,Single,1
58,30,Male,White,High School,Midwest,Single,1
59,25,Female,White,Master's,West,DINKS,2
60,30,Male,White,Master's,Northeast,Other,3
61,35,Female,White,Master's,Midwest,SmallFamily,3
62,30,Male,Black/African American,Bachelor's,Northeast,SmallFamily,4
63,55,Female,White,Some College/Associate's,West,DINKS,2
64,35,Female,White,Bachelor's,West,Single,1
65,30,Female,White,High School,Midwest,SmallFamily,3
66,40,Male,Hispanic/Latino,Some College/Associate's,Northeast,SmallFamily,4
67,25,Male,White,High School,Northeast,DINKS,2
68,50,Female,Hispanic/Latino,Some College/Associate's,South,SingleParent,3
69,25,Male,Hispanic/Latino,High School,Midwest,SmallFamily,5
70,70,Male,Black/African American,High School,South,DINKS,2
71,50,Male,White,Some College/Associate's,West,SingleParent,4
72,30,Male,White,Some College/Associate's,South,Other,4
73,25,Female,Black/African American,Bachelor's,South,DINKS,2
74,50,Female,Other/Multiracial,High School,Northeast,Single,1
75,45,Male,Black/African American,Some College/Associate's,South,DINKS,2
76,50,Male,White,High School,Midwest,SmallFamily,4
77,50,Male,White,Some College/Associate's,West,Single,1
78,25,Male,White,Bachelor's,South,Single,1
79,35,Female,Hispanic/Latino,Some College/Associate's,South,Single,1
80,25,Male,White,Bachelor's,West,SmallFamily,3
81,55,Female,White,High School,South,DINKS,2
82,45,Male,Black/African American,Bachelor's,Midwest,DINKS,2
83,30,Female,White,Some College/Associate's,Northeast,Single,1
84,25,Male,Black/African American,Some College/Associate's,South,SmallFamily,4
85,30,Female,White,Bachelor's,South,DINKS,2
86,30,Female,White,High School,West,DINKS,2
87,50,Female,White,Bachelor's,Midwest,SmallFamily,5
88,45,Male,Hispanic/Latino,Some College/Associate's,South,DINKS,2
89,55,Male,White,High School,South,DINKS,2
90,35,Female,White,High School,West,SmallFamily,3
91,25,Male,Asian,High School,Northeast,Single,1
92,45,Male,White,Master's,West,SmallFamily,4
93,50,Female,White,Bachelor's,West,Single,1
94,40,Female,White,High School,Northeast,Single,1
95,50,Male,White,Some College/Associate's,Midwest,SmallFamily,3
96,35,Male,Hispanic/Latino,Some College/Associate's,Midwest,SmallFamily,4
97,40,Female,White,Bachelor's,West,Single,1
98,35,Male,White,High School,Northeast,Single,1
99,25,Female,White,High School,Midwest,SingleParent,2
100,25,Female,Hispanic/Latino,Master's,Northeast,SmallFamily,4
101,25,Female,White,High School,Midwest,Single,1
102,45,Female,White,High School,Midwest,SmallFamily,4
103,30,Male,White,Master's,South,Single,1
104,40,Male,White,Some College/Associate's,South,SmallFamily,5
105,60,Female,White,High School,Midwest,Single,1
106,30,Female,White,High School,South,SmallFamily,4
107,35,Male,Black/African American,High School,West,Single,1
108,50,Male,White,High School,South,DINKS,2
109,30,Male,Asian,Master's,Midwest,SmallFamily,5
110,25,Male,Asian,Some College/Associate's,South,Single,1
111,30,Female,White,Bachelor's,Midwest,Single,1
112,30,Male,White,Master's,West,SmallFamily,3
113,60,Female,White,High School,South,SmallFamily,4
114,50,Female,Black/African American,High School,West,DINKS,2
115,45,Female,White,Some College/Associate's,South,SmallFamily,4
116,55,Female,White,Bachelor's,South,DINKS,2
117,50,Male,White,Bachelor's,South,DINKS,2
118,30,Male,Black/African American,High School,South,SmallFamily,3
119,55,Female,Black/African American,Some College/Associate's,Northeast,Other,2
120,40,Female,White,Some College/Associate's,South,Single,1
121,50,Female,Hispanic/Latino,Master's,Midwest,Single,1
122,55,Female,White,High School,South,SmallFamily,4
123,30,Male,White,Bachelor's,Midwest,SingleParent,3
124,25,Male,Black/African American,Master's,South,Roommates,3
125,30,Male,White,Some College/Associate's,Midwest,SmallFamily,3
126,35,Male,White,Some College/Associate's,Midwest,SmallFamily,3
127,50,Male,White,High School,Midwest,SmallFamily,4
128,55,Male,Black/African American,High School,South,DINKS,2
129,25,Female,Black/African American,Some College/Associate's,Midwest,DINKS,2
130,40,Female,Hispanic/Latino,Master's,South,SingleParent,2
131,35,Male,Hispanic/Latino,High School,South,SmallFamily,3
132,30,Male,White,Some College/Associate's,West,SmallFamily,3
133,25,Female,White,Bachelor's,West,DINKS,2
134,30,Female,White,High School,West,SmallFamily,3
135,60,Female,White,Some College/Associate's,Midwest,DINKS,2
136,30,Male,White,Bachelor's,South,SmallFamily,3
137,40,Female,Asian,Bachelor's,South,Single,1
138,45,Male,White,Some College/Associate's,South,Single,1
139,35,Male,White,Bachelor's,Midwest,SmallFamily,3
140,65,Female,White,High School,West,DINKS,2
141,65,Male,White,Master's,South,Single,1
142,30,Male,Black/African American,High School,Midwest,SmallFamily,3
143,35,Female,White,Bachelor's,West,DINKS,2
144,30,Male,White,Some College/Associate's,West,Single,1
145,30,Female,Hispanic/Latino,Master's,West,Other,3
146,25,Female,White,Bachelor's,Midwest,Roommates,2
147,40,Male,White,Bachelor's,Midwest,Single,1
148,40,Male,White,High School,South,SmallFamily,4
149,25,Male,White,Some College/Associate's,South,Single,1
150,30,Male,Other/Multiracial,Bachelor's,South,Other,4
151,60,Male,Hispanic/Latino,Bachelor's,Midwest,DINKS,2
152,30,Male,White,High School,Northeast,DINKS,2
153,25,Male,Black/African American,Master's,West,DINKS,2
154,35,Female,White,Master's,South,SingleParent,3
155,70,Female,White,High School,Midwest,Single,1
156,30,Male,White,Bachelor's,Northeast,SmallFamily,3
157,45,Female,White,Some College/Associate's,Northeast,Single,1
158,50,Male,White,Some College/Associate's,West,SingleParent,4
159,30,Female,Hispanic/Latino,Some College/Associate's,Northeast,Single,1
160,50,Male,Black/African American,Some College/Associate's,South,SingleParent,2
161,35,Female,White,Bachelor's,South,SmallFamily,3
162,45,Female,White,Some College/Associate's,South,DINKS,2
163,45,Male,White,Some College/Associate's,Midwest,Other,4
164,40,Female,White,Bachelor's,South,Other,4
165,25,Male,White,Bachelor's,West,DINKS,2
166,55,Female,White,High School,West,Single,1
167,30,Female,Black/African American,Master's,South,SmallFamily,4
168,30,Female,White,Some College/Associate's,Northeast,SmallFamily,4
