personID,entertainment,hobbies,travel,gifts,donations
1,100.49,0.0,29.91,104.82,0.0
2,69.68,15.04,52.88,51.07,0.0
3,43.27,89.37,84.82,105.51,0.0
4,147.07,0.0,248.83,129.29,0.0
5,67.81,45.34,25.03,32.54,0.0
6,75.5,0.0,186.97,100.73,0.0
7,169.35,0.0,189.75,46.94,0.0
8,63.99,111.13,184.85,63.53,0.0
9,48.48,16.06,97.14,130.1,0.0
10,81.65,37.77,53.3,106.54,0.0
11,136.38,0.0,12.84,114.14,0.0
12,40.59,0.0,101.27,42.36,0.0
13,40.56,86.79,77.19,63.53,0.0
14,103.33,94.37,48.66,43.58,0.0
15,227.32,136.38,369.16,97.0,0.0
16,107.68,69.02,231.84,49.37,61.41
17,120.54,55.82,7.93,33.33,0.0
18,113.34,31.32,115.95,94.6,0.0
19,116.86,99.81,196.65,112.71,0.0
20,116.39,131.9,360.61,70.49,41.72
21,45.64,0.0,37.4,148.76,0.0
22,181.3,0.0,139.08,74.88,0.0
23,155.21,5.83,329.04,115.56,138.05
24,67.23,91.53,86.82,89.35,0.0
25,121.0,0.0,153.51,122.0,0.0
26,92.35,0.0,18.27,138.95,0.0
27,139.2,0.0,2.07,128.28,0.0
28,141.33,0.0,345.13,114.02,0.0
29,113.19,49.61,136.02,113.94,0.0
30,64.07,39.6,6.12,105.85,0.0
31,134.8,0.0,363.25,116.9,55.84
32,104.61,105.08,89.88,143.34,68.02
33,131.34,0.0,355.44,75.88,104.39
34,23.27,0.0,39.86,62.15,0.0
35,70.75,38.39,39.95,40.62,0.0
36,80.19,80.84,66.01,132.31,20.15
37,192.6,0.0,32.99,46.9,0.0
38,103.55,79.98,23.8,54.89,0.0
39,123.37,30.89,71.42,142.3,32.88
40,109.0,47.77,369.16,137.57,0.0
41,175.35,66.54,173.82,146.34,0.0
42,119.35,51.58,108.77,62.44,0.0
43,55.96,150.99,169.12,94.45,98.99
44,51.14,0.0,28.3,69.4,0.0
45,109.65,216.22,731.16,125.61,170.45
46,125.79,0.0,89.25,65.19,0.0
47,186.8,0.0,90.69,147.74,0.0
48,65.03,0.0,20.87,52.12,0.0
49,92.2,92.56,80.23,147.88,0.0
50,151.44,13.07,145.11,81.31,0.0
51,72.21,0.0,82.32,55.02,0.0
52,83.19,42.45,94.93,87.6,0.0
53,75.28,0.0,70.26,137.97,22.55
54,70.54,0.0,186.18,99.87,0.0
55,123.57,125.25,92.83,80.77,0.0
56,28.67,69.19,78.3,57.29,0.0
57,198.17,0.0,261.0,82.73,0.0
58,155.96,21.57,7.7,72.0,0.0
59,77.45,0.0,194.84,80.14,221.68
60,158.83,77.96,134.07,60.99,0.0
61,82.95,0.0,90.78,110.25,31.19
62,175.47,0.0,164.91,127.42,64.13
63,58.3,0.0,119.31,34.62,0.0
64,53.0,76.83,253.27,97.76,87.48
65,99.91,0.0,23.71,86.85,0.0
66,33.74,55.89,166.7,47.43,0.0
67,51.18,0.0,0.47,57.94,0.0
68,147.59,103.33,62.68,69.73,0.0
69,89.35,0.0,24.7,94.02,0.0
70,29.51,64.87,137.14,50.16,0.0
71,134.71,51.74,59.15,137.02,0.0
72,96.34,42.53,27.46,80.83,0.0
73,141.18,137.21,246.79,128.81,62.09
74,136.2,0.0,26.21,85.8,0.0
75,99.19,0.0,68.07,145.2,0.0
76,55.11,7.33,42.09,130.33,0.0
77,64.79,0.0,88.94,138.65,0.0
78,64.5,16.56,82.08,61.93,28.11
79,109.01,40.71,48.01,127.92,0.0
80,76.21,0.0,84.04,111.51,65.71
81,45.89,0.0,191.1,92.63,0.0
82,108.53,0.0,88.23,93.6,0.0
83,116.86,26.84,131.79,87.66,0.0
84,118.08,51.52,37.44,75.32,0.0
85,186.21,0.0,84.32,132.85,0.0
86,170.86,3.15,31.82,49.07,0.0
87,112.07,0.0,797.22,145.12,115.6
88,102.09,0.0,39.44,77.67,0.0
89,45.42,0.0,181.3,79.79,0.0
90,106.57,0.0,17.49,102.84,0.0
91,186.19,41.95,39.0,52.99,0.0
92,146.92,86.85,739.0,40.46,266.91
93,70.36,197.82,338.96,140.39,0.0
94,130.84,66.04,125.5,125.54,0.0
95,117.82,130.38,197.36,47.43,75.74
96,51.28,0.0,35.58,113.11,0.0
97,157.58,0.0,170.03,135.92,0.0
98,139.36,10.68,38.05,140.37,0.0
99,184.89,48.2,3.21,127.8,0.0
100,296.61,1.32,442.61,93.08,167.67
101,152.48,0.0,24.4,57.32,0.0
102,146.99,0.0,13.03,55.33,0.0
103,96.2,139.51,157.01,92.42,125.11
104,55.79,0.0,115.89,90.87,0.0
105,51.5,20.97,37.08,75.11,0.0
106,105.96,33.25,16.26,34.8,0.0
107,37.3,32.45,138.11,109.27,0.0
108,45.15,64.87,15.02,76.19,0.0
109,147.32,0.0,332.81,85.64,0.0
110,172.86,0.0,47.7,147.74,0.0
111,185.13,133.75,127.38,100.62,89.53
112,275.16,101.55,785.23,132.89,238.13
113,36.7,0.0,49.36,84.73,0.0
114,120.08,27.81,158.92,142.93,0.0
115,67.92,0.0,5.5,40.31,0.0
116,85.96,191.21,299.06,89.73,0.0
117,130.61,162.43,186.25,41.09,0.0
118,84.83,0.0,39.3,131.99,0.0
119,45.93,15.57,183.1,115.03,0.0
120,88.26,40.82,55.22,37.58,93.27
121,112.68,0.0,347.33,131.73,36.69
122,71.45,0.0,31.26,79.39,0.0
123,62.27,0.0,197.27,39.51,0.0
124,193.66,0.0,132.85,64.2,0.0
125,187.41,22.89,109.94,136.83,0.0
