personID,career,workArrangement,annualIncome,sideHustleIncome,monthlyIncome
1,Retail,Office,30741.64,0.0,2561.8033333333333
2,Retired,Retired,61059.58119370783,0.0,5088.298432808986
3,Healthcare,Office,57575.73,0.0,4797.9775
4,Sales,Office,96389.51,0.0,8032.4591666666665
5,Service,Office,30245.27,0.0,2520.4391666666666
6,Sales,Office,46519.03,0.0,3876.585833333333
7,Sales,Hybrid,59757.63,0.0,4979.8025
8,Admin,Office,45539.45,0.0,3794.9541666666664
9,Construction,Office,60221.82,7797.37,5668.265833333334
10,Transportation,Office,42396.6,0.0,3533.0499999999997
11,Service,Hybrid,34115.03,0.0,2842.9191666666666
12,Retired,Retired,43840.7564007473,2832.82,3889.464700062275
13,Construction,Office,44485.8,0.0,3707.15
14,Construction,Office,38828.94,0.0,3235.7450000000003
15,Finance,Hybrid,93839.68,12739.86,8881.628333333332
16,Finance,Office,97369.11,5092.62,8538.477499999999
17,Transportation,Hybrid,35825.83,0.0,2985.4858333333336
18,Admin,Office,42917.41,0.0,3576.450833333334
19,Healthcare,Office,44205.73,0.0,3683.8108333333334
20,Technology,Hybrid,101251.14,18607.97,9988.259166666667
21,Retail,Office,31181.54,5865.6,3087.2616666666668
22,Education,Office,40990.67,6556.89,3962.2966666666666
23,Education,Office,87200.74,0.0,7266.7283333333335
24,Business,Remote,70965.58,0.0,5913.798333333333
25,Healthcare,Hybrid,44623.09,0.0,3718.590833333333
26,Service,Office,38662.96,0.0,3221.9133333333334
27,FoodService,Office,27266.84,0.0,2272.2366666666667
28,Research,Office,91240.09,0.0,7603.340833333333
29,Service,Office,43416.84,5209.26,4052.1749999999997
30,Manufacturing,Office,24931.97,2199.86,2260.9858333333336
31,Business,Hybrid,126426.79,0.0,10535.565833333332
32,Sales,Office,50491.44,8160.27,4887.642500000001
33,Engineering,Hybrid,82838.17,0.0,6903.180833333333
34,Admin,Office,38164.0,0.0,3180.3333333333335
35,Retired,Retired,30775.019919317132,0.0,2564.5849932764277
36,Healthcare,Office,74123.68,0.0,6176.973333333332
37,Retail,Hybrid,29111.74,0.0,2425.9783333333335
38,Admin,Office,37098.08,7040.09,3678.1808333333333
39,Admin,Office,52076.03,0.0,4339.669166666667
40,Engineering,Office,85781.86,0.0,7148.488333333334
41,Finance,Remote,60843.28,0.0,5070.2733333333335
42,Manufacturing,Hybrid,48438.41,0.0,4036.534166666667
43,Finance,Remote,78234.71,0.0,6519.559166666667
44,Transportation,Office,31560.46,2328.53,2824.0825
45,Engineering,Office,121690.91,0.0,10140.909166666666
46,Healthcare,Hybrid,46250.29,5544.17,4316.205
47,Healthcare,Hybrid,64986.98,0.0,5415.581666666667
48,Transportation,Office,34395.96,0.0,2866.33
49,Admin,Office,43913.92,4272.35,4015.5224999999996
50,Healthcare,Hybrid,40062.88,0.0,3338.5733333333333
51,Retired,Retired,53121.9358267951,0.0,4426.827985566259
52,Sales,Office,64066.21,0.0,5338.850833333333
53,Healthcare,Office,57853.44,0.0,4821.12
54,Retail,Office,46553.33,4818.79,4281.01
55,Sales,Office,52581.19,0.0,4381.765833333334
56,Manufacturing,Office,41811.5,4635.38,3870.5733333333333
57,Engineering,Office,93136.71,0.0,7761.392500000001
58,Admin,Office,28701.37,0.0,2391.7808333333332
59,Business,Office,112593.29,0.0,9382.774166666666
60,Education,Office,77352.2,14911.14,7688.611666666667
61,Healthcare,Office,74281.18,0.0,6190.098333333332
62,Healthcare,Office,73916.07,6563.42,6706.624166666667
63,Sales,Office,65025.95,0.0,5418.829166666666
64,Business,Remote,94100.93,0.0,7841.744166666666
65,Retail,Hybrid,27642.49,0.0,2303.5408333333335
66,Retail,Office,42950.3,0.0,3579.191666666667
67,Manufacturing,Office,36664.0,0.0,3055.3333333333335
68,Healthcare,Office,52698.27,0.0,4391.5225
69,Construction,Office,27978.24,0.0,2331.52
70,Retired,Retired,55914.308548323934,6927.86,5236.8473790269945
71,Retail,Hybrid,53225.7,0.0,4435.474999999999
72,Healthcare,Office,38521.52,0.0,3210.1266666666666
73,Finance,Office,85528.17,0.0,7127.3475
74,Retail,Hybrid,34886.92,0.0,2907.2433333333333
75,Manufacturing,Office,42578.53,0.0,3548.210833333333
76,Manufacturing,Office,34652.94,0.0,2887.7450000000003
77,Manufacturing,Office,67460.54,0.0,5621.711666666666
78,Technology,Office,68824.98,0.0,5735.415
79,Service,Office,38908.67,0.0,3242.3891666666664
80,Education,Office,57943.09,0.0,4828.590833333333
81,Transportation,Office,40358.35,0.0,3363.195833333333
82,Healthcare,Office,58484.57,0.0,4873.714166666667
83,Manufacturing,Hybrid,47946.58,9240.41,4765.5825
84,Sales,Office,29880.18,0.0,2490.015
85,Business,Remote,69719.78,0.0,5809.981666666667
86,FoodService,Office,30756.09,0.0,2563.0075
87,Engineering,Office,120732.53,0.0,10061.044166666667
