totalExpenses,totalSavingsInvestments,monthlyCashFlow,housingRatio,debtToIncome,savingsInvestmentsRate,carPaymentRatio,savingsInvestmentsRate,monthsSaved,financialHealth
5368.49,143.09,-2949.78,66.32,1.33,5.59,0.0,5.59,1.17,FinanciallyDistressed
5258.28,0.0,-169.98,25.51,25.51,0.0,13.95,0.0,0.07,FinanciallyDistressed
6578.61,0.0,-1780.63,37.63,11.88,0.0,8.04,0.0,0.93,FinanciallyDistressed
7676.07,954.95,-598.56,28.46,14.87,11.89,11.36,11.89,1.17,FinanciallyStable
7640.68,254.91,-5375.15,57.12,27.03,10.11,15.16,10.11,1.37,FinanciallyDistressed
8154.86,0.0,-4278.27,71.25,4.57,0.0,0.0,0.0,1.17,FinanciallyDistressed
5932.45,252.82,-1205.47,52.77,0.1,5.08,0.0,5.08,1.54,FinanciallyDistressed
6248.83,553.96,-3007.84,55.32,3.87,14.6,0.0,14.6,1.3,FinanciallyVulnerable
5842.82,729.6,-904.15,43.64,13.72,12.87,13.71,12.87,4.16,FinanciallyVulnerable
7500.52,353.03,-4320.5,62.28,15.03,9.99,0.0,9.99,5.8,FinanciallyDistressed
5703.1,60.62,-2920.8,84.64,20.29,2.13,0.0,2.13,0.55,FinanciallyDistressed
5200.24,0.0,-1310.78,57.62,0.85,0.0,0.0,0.0,1.52,FinanciallyDistressed
3497.65,106.87,102.63,31.78,0.43,2.88,0.0,2.88,0.81,FinanciallyVulnerable
6515.09,187.6,-3466.94,58.95,8.98,5.8,0.0,5.8,1.72,FinanciallyDistressed
11806.31,879.7,-3804.38,38.75,4.65,9.9,0.0,9.9,1.72,FinanciallyVulnerable
7460.68,0.0,1077.8,22.15,6.39,0.0,0.0,0.0,1.54,FinanciallyStable
6859.16,0.0,-3873.67,80.43,5.44,0.0,0.0,0.0,0.07,FinanciallyDistressed
5876.55,0.0,-2300.1,38.65,20.33,0.0,19.26,0.0,0.44,FinanciallyDistressed
8708.31,0.0,-5024.5,68.0,11.58,0.0,0.0,0.0,0.88,FinanciallyDistressed
8423.76,2036.65,-472.15,17.06,0.07,20.39,0.0,20.39,2.95,FinanciallyStable
7761.98,259.39,-4934.11,66.37,8.09,8.4,0.0,8.4,1.08,FinanciallyDistressed
6128.52,200.6,-2366.82,46.95,12.71,5.06,0.0,5.06,0.57,FinanciallyDistressed
8872.35,757.39,-2363.01,36.03,3.93,10.42,0.0,10.42,1.0,FinanciallyVulnerable
5494.58,520.73,-101.51,21.61,11.7,8.81,0.0,8.81,3.08,FinanciallyStable
6023.84,292.4,-2597.65,80.15,0.58,7.86,0.0,7.86,0.23,FinanciallyDistressed
5284.95,406.58,-2469.62,51.03,12.76,12.62,0.0,12.62,1.62,FinanciallyVulnerable
5333.1,142.3,-3203.16,56.66,0.74,6.26,0.0,6.26,1.13,FinanciallyDistressed
8524.35,0.0,-921.01,39.24,11.66,0.0,11.58,0.0,1.58,FinanciallyVulnerable
5987.71,148.41,-2083.95,38.69,17.08,3.66,13.07,3.66,0.42,FinanciallyDistressed
4673.23,155.85,-2568.09,50.97,28.27,6.89,17.18,6.89,0.39,FinanciallyDistressed
12503.15,1610.37,-3577.95,37.15,4.95,15.29,0.0,15.29,5.69,FinanciallyStable
7445.73,522.21,-3080.3,40.14,0.29,10.68,0.0,10.68,0.48,FinanciallyVulnerable
8936.45,0.0,-2033.27,28.14,35.06,0.0,17.73,0.0,1.88,FinanciallyDistressed
5047.57,198.53,-2065.77,54.37,10.72,6.24,9.65,6.24,5.36,FinanciallyVulnerable
5745.24,0.0,-3180.66,92.99,1.95,0.0,0.0,0.0,1.91,FinanciallyDistressed
8537.37,270.93,-2631.33,32.66,18.22,4.39,10.29,4.39,1.79,FinanciallyVulnerable
3625.28,0.0,-1199.3,39.07,9.85,0.0,0.0,0.0,1.86,FinanciallyVulnerable
5975.82,208.21,-2505.85,71.2,4.84,5.66,0.0,5.66,2.72,FinanciallyDistressed
8318.64,586.45,-4565.42,71.86,12.85,13.51,0.0,13.51,0.76,FinanciallyDistressed
10826.26,1019.07,-4696.84,42.92,7.03,14.26,0.0,14.26,4.43,FinanciallyVulnerable
5871.61,807.36,-1608.7,38.51,6.59,15.92,0.0,15.92,0.87,FinanciallyVulnerable
5886.52,250.42,-2100.41,37.76,6.51,6.2,0.0,6.2,3.57,FinanciallyVulnerable
5600.32,1023.36,-104.12,22.38,7.05,15.7,0.0,15.7,0.24,FinanciallyVulnerable
5641.2,0.0,-2817.12,68.82,1.52,0.0,0.0,0.0,1.38,FinanciallyDistressed
11475.5,0.0,-1334.59,24.98,16.45,0.0,9.53,0.0,0.27,FinanciallyDistressed
7036.69,0.0,-2720.48,43.21,13.34,0.0,0.0,0.0,1.75,FinanciallyVulnerable
8345.83,0.0,-2930.25,36.85,28.16,0.0,22.68,0.0,0.14,FinanciallyDistressed
7962.93,73.11,-5169.71,64.16,19.39,2.55,9.21,2.55,0.76,FinanciallyDistressed
7316.98,526.59,-3828.05,77.54,1.24,13.11,0.0,13.11,1.92,FinanciallyVulnerable
6485.68,0.0,-3147.11,52.68,20.32,0.0,15.94,0.0,1.51,FinanciallyDistressed
4960.33,371.61,-905.11,30.04,7.95,8.39,0.0,8.39,4.51,FinanciallyVulnerable
7434.13,287.19,-2382.47,60.63,6.56,5.38,0.0,5.38,1.23,FinanciallyDistressed
6070.35,0.0,-1249.23,28.12,32.0,0.0,18.41,0.0,0.2,FinanciallyDistressed
