personID,groceries,diningOut,coffee,alcohol
1,535.11,211.29,1.98,80.8
2,368.13,382.14,59.26,98.29
3,1134.44,265.84,6.92,92.87
4,437.96,597.45,37.81,123.23
5,1339.21,398.41,17.76,141.73
6,1478.71,350.64,62.6,122.73
7,772.91,317.11,75.89,196.55
8,1037.22,226.51,19.65,80.67
9,330.35,322.45,82.38,47.8
10,546.29,173.42,21.68,41.92
11,350.5,249.03,10.19,86.93
12,673.79,231.29,20.73,31.0
13,364.71,201.03,7.49,65.16
14,1053.75,342.55,6.47,109.29
15,2285.75,550.43,20.22,45.0
16,772.79,711.46,42.05,30.84
17,943.1,175.39,18.74,113.66
18,937.91,171.89,7.79,36.02
19,825.17,283.14,63.07,116.56
20,1470.57,453.75,57.46,38.46
21,1297.82,296.1,1.5,145.61
22,712.82,388.09,80.12,87.43
23,1216.26,635.74,23.47,38.1
24,788.63,412.27,77.53,104.64
25,350.33,265.47,1.52,116.72
26,698.57,290.62,12.13,93.93
27,940.29,217.49,12.55,129.09
28,1091.04,429.65,12.43,63.79
29,900.01,288.53,2.53,54.01
30,502.85,160.45,17.25,95.83
31,1515.85,1131.93,11.68,58.98
32,1506.0,534.16,46.13,116.4
33,877.34,719.31,25.26,154.8
34,549.18,324.92,23.5,64.8
35,955.99,140.2,23.52,25.6
36,1125.13,460.42,49.29,96.27
37,338.22,83.04,11.94,71.98
38,617.04,293.65,10.16,172.17
39,1234.27,466.08,24.1,125.67
40,2079.12,517.72,49.69,65.61
41,755.73,383.36,80.7,87.24
42,904.5,213.14,103.03,94.22
43,961.77,333.14,64.46,103.66
44,951.74,248.61,12.16,93.59
45,1170.77,1275.38,25.85,139.51
46,1531.55,143.12,16.38,122.61
47,1024.49,345.33,18.07,32.53
48,1619.89,348.29,5.73,131.49
49,546.57,151.44,15.39,108.7
50,976.92,173.85,17.06,92.89
51,622.26,362.52,20.13,51.23
52,361.2,470.33,57.43,69.32
53,640.82,508.1,1.34,40.49
54,970.47,298.88,19.89,66.07
55,571.16,347.9,5.83,108.12
56,707.68,262.7,9.14,74.12
57,445.37,607.33,114.97,113.13
58,250.1,223.81,8.48,38.39
59,1014.54,771.75,43.01,112.73
60,1283.78,494.77,47.17,138.17
61,1174.74,429.23,20.23,94.45
62,1444.77,346.22,15.97,34.69
63,796.33,446.23,9.05,49.92
64,521.38,385.19,0.05,103.89
65,891.18,95.23,12.89,63.63
66,1347.26,207.57,9.34,52.53
67,668.99,293.12,3.85,136.7
68,1100.25,392.41,17.79,68.6
69,1658.03,195.54,6.7,118.86
70,742.61,213.14,10.44,14.62
71,1433.57,307.86,7.25,79.09
72,1350.22,231.0,15.24,120.7
73,741.13,711.3,92.46,108.64
74,293.81,202.83,10.33,20.71
75,594.55,325.2,17.86,106.5
76,1225.54,297.77,20.97,98.24
77,371.03,399.06,21.73,58.95
78,344.26,603.65,42.76,153.15
79,308.34,229.62,22.14,93.29
80,1056.78,671.93,54.48,85.64
81,583.54,154.61,3.03,47.22
82,598.73,326.92,4.28,145.27
83,302.07,215.26,25.44,101.43
84,1214.87,102.1,6.64,78.19
85,947.02,261.44,23.65,35.98
86,581.09,251.85,3.87,36.39
87,2255.75,612.1,58.67,60.05
88,528.85,267.92,15.92,42.6
89,725.54,292.9,10.52,86.61
90,989.75,182.1,19.57,71.09
91,276.77,186.06,24.76,107.6
92,2307.34,614.7,21.29,71.31
93,463.56,791.56,84.27,62.8
94,326.02,438.88,24.77,149.78
95,1132.16,241.85,14.14,91.73
96,1171.85,342.46,19.0,57.82
97,481.81,505.22,24.8,137.7
98,283.25,235.81,15.12,99.87
99,628.08,161.92,11.85,159.69
100,2030.59,1372.15,107.52,128.09
101,280.48,131.08,5.06,149.14
102,1190.69,175.83,16.95,77.01
103,461.56,691.99,95.88,63.85
104,1686.67,178.43,1.15,90.4
105,268.63,261.22,4.38,58.03
106,1313.51,140.04,17.99,77.45
107,331.92,307.71,84.48,124.68
108,525.96,322.66,2.34,77.39
109,2452.0,1293.25,19.03,64.45
110,331.47,311.91,14.45,79.6
111,301.51,445.34,16.54,30.57
112,1547.99,849.45,6.44,147.57
113,1306.9,197.66,8.24,48.14
114,553.87,234.38,16.51,68.98
115,1219.26,260.0,15.75,119.71
116,750.45,705.34,33.27,36.47
117,670.85,479.21,62.03,73.39
118,805.79,144.27,19.33,43.71
119,661.24,392.95,9.72,27.74
120,340.08,502.61,6.3,66.36
121,400.84,730.02,2.47,45.63
122,1255.7,159.25,4.29,34.39
123,1214.77,454.22,117.33,86.09
124,1020.82,573.86,108.08,142.63
125,922.83,232.61,24.68,141.19
126,977.58,247.87,104.89,114.25
127,1444.67,130.58,1.12,61.82
128,718.35,290.37,21.6,63.15
129,668.73,382.6,12.24,136.17
130,946.97,947.35,18.32,64.54
131,913.75,299.64,23.28,119.4
132,968.52,254.92,73.89,108.43
133,932.51,460.54,18.19,123.29
134,900.07,254.69,41.43,55.65
135,692.2,174.37,4.07,88.01
136,1085.71,331.38,44.84,53.75
137,407.56,556.35,73.44,53.69
138,294.97,186.82,6.42,47.58
139,1043.88,304.62,90.93,149.57
140,649.34,183.42,14.08,39.58
141,396.42,313.88,12.71,88.1
142,1001.03,297.77,16.15,34.17
143,1015.5,756.6,41.19,114.89
144,335.66,479.29,69.34,33.64
145,1408.19,996.21,2.71,104.9
146,661.57,872.18,21.33,89.94
147,294.1,457.98,8.35,38.25
148,1311.28,321.67,15.69,62.92
149,292.17,167.03,13.17,68.68
150,1776.16,536.99,112.32,56.4
151,758.19,407.08,38.28,74.98
152,701.43,266.69,10.25,129.97
153,993.38,547.53,6.64,115.74
154,1549.16,392.74,17.33,80.06
155,277.21,148.6,4.75,33.1
156,1332.19,722.68,58.61,86.52
157,325.93,325.98,5.06,58.19
158,1343.84,341.33,3.83,99.12
159,325.99,297.65,40.8,110.19
160,728.36,160.57,23.82,81.9
161,1258.21,367.01,114.42,83.08
162,625.43,367.22,8.3,121.3
163,1287.67,174.3,14.25,112.01
164,1577.97,565.51,7.69,129.25
165,725.72,583.43,50.8,56.63
166,344.73,249.14,8.43,23.61
167,1391.5,513.66,17.76,98.3
168,1596.49,412.59,6.71,75.46
169,545.68,277.48,4.04,170.39
170,1087.48,330.33,20.11,49.89
171,295.09,235.45,20.17,60.07
172,1198.4,442.18,4.21,113.08
173,892.58,176.94,22.46,137.26
174,305.14,472.99,68.51,45.92
175,611.62,158.2,3.68,123.12
176,1300.13,216.62,47.78,148.63
177,2276.31,515.75,9.47,120.01
178,332.77,296.9,94.24,96.03
179,888.47,148.27,8.15,64.67
180,369.26,638.61,23.99,74.63
181,1183.99,170.95,15.68,82.69
182,1059.86,286.32,0.24,129.54
183,1848.46,767.96,31.53,59.87
184,490.05,567.55,80.37,28.93
185,1120.57,221.55,20.23,48.21
186,1432.18,645.25,70.55,60.22
187,357.82,274.95,21.93,61.72
188,729.87,417.44,20.1,49.28
189,1317.16,182.01,6.04,63.46
190,2126.82,391.48,21.56,71.04
191,371.64,536.47,27.57,150.41
192,656.47,281.4,8.59,46.67
193,654.12,304.19,11.24,75.81
194,635.04,311.75,10.89,48.12
195,370.97,632.14,63.09,64.04
196,1047.64,524.52,1.18,80.77
197,301.71,287.98,11.56,41.25
198,1909.04,649.55,18.39,34.72
199,1925.8,926.55,14.01,97.78
200,937.89,966.11,76.26,72.51
201,1612.24,436.43,20.35,32.54
202,263.69,199.09,5.51,78.05
203,1900.39,605.0,62.46,109.21
204,749.23,90.3,4.57,48.35
205,1857.64,488.52,12.55,91.12
206,581.24,205.9,9.35,169.95
207,940.95,238.37,1.93,67.37
208,365.61,356.9,5.34,106.94
209,593.11,336.29,23.21,123.47
210,350.3,353.73,86.39,57.09
211,322.36,199.88,20.52,68.67
212,1413.65,312.82,7.28,33.4
213,1368.24,222.18,20.04,147.76
214,1263.92,411.55,86.03,45.34
215,701.9,384.43,7.04,119.56
216,1430.48,397.47,56.88,82.59
217,625.63,403.56,14.42,86.17
218,1162.04,535.26,15.75,67.36
219,522.77,888.06,21.26,139.41
220,1642.87,630.06,17.91,64.85
221,803.08,483.22,0.57,126.34
222,640.49,310.89,17.95,131.03
223,285.84,185.16,24.84,147.41
224,931.65,217.01,1.58,106.63
225,1866.2,946.73,6.03,133.53
226,2140.76,762.92,40.93,36.14
227,353.08,211.18,10.57,70.95
228,315.0,193.67,54.28,92.55
229,997.39,910.69,51.43,41.27
230,1626.62,466.56,5.72,123.8
231,593.89,132.95,15.95,43.76
232,991.15,431.11,9.42,123.51
233,306.61,249.44,11.25,139.5
234,1221.95,375.78,10.47,98.67
235,894.97,419.74,63.59,126.44
236,782.32,391.31,16.99,40.85
237,1811.85,898.69,92.41,48.77
238,1114.82,637.41,19.32,135.1
239,925.4,805.67,69.21,81.13
240,591.51,338.42,20.78,80.9
241,848.49,670.94,46.12,30.2
242,303.96,123.1,23.93,94.97
243,1794.31,192.06,22.28,28.65
244,709.27,305.79,53.66,64.97
245,283.99,194.61,10.58,120.85
246,302.48,308.71,12.64,79.45
247,1000.76,414.1,41.96,105.36
248,296.68,211.3,20.46,25.76
