personID,housingStatus,housingCost,propertyTax,hoaFees,homeInsurance,utilities,internet,phone
1,Own,1699.04,141.59,0.0,161.8,203.1,72.24,91.74
2,Own,1298.08,108.17,0.0,81.41,150.91,87.14,45.65
3,Own,1805.32,150.44,0.0,183.81,232.31,94.1,163.16
4,Own,2286.14,190.51,0.0,175.2,128.24,71.4,56.57
5,Own,1439.74,119.98,0.0,115.87,239.45,105.68,131.24
6,Rent,2762.17,0.0,0.0,20.84,264.3,72.52,157.54
7,Rent,2627.72,0.0,0.0,16.07,174.33,55.0,55.9
8,Rent,2099.47,0.0,0.0,16.02,217.25,64.1,80.79
9,Rent,2473.57,0.0,0.0,28.37,152.01,78.59,65.38
10,Own,2200.31,183.36,141.46,102.35,217.22,113.56,122.58
11,Own,2406.22,200.52,0.0,190.83,177.67,79.1,44.35
12,Own,2241.03,186.75,0.0,181.09,168.17,56.29,50.55
13,Own,1177.99,98.17,0.0,121.87,163.14,63.75,44.75
14,Rent,1907.49,0.0,0.0,22.6,240.79,88.11,144.78
15,Own,3441.93,286.83,0.0,119.27,291.84,62.44,313.93
16,Rent,1890.85,0.0,0.0,16.85,197.16,54.48,50.63
17,Own,2401.11,200.09,222.63,83.77,261.52,100.04,134.48
18,Rent,1382.24,0.0,0.0,24.04,184.1,104.9,157.58
19,Own,2505.11,208.76,0.0,193.16,242.37,109.54,222.64
20,Rent,1704.14,0.0,0.0,33.34,235.49,109.08,74.79
21,Own,2048.94,170.74,0.0,177.18,286.54,76.55,131.34
22,Rent,1860.24,0.0,0.0,27.57,175.67,101.41,148.69
23,Rent,2618.04,0.0,0.0,32.12,209.41,90.85,126.93
24,Rent,1278.14,0.0,0.0,25.3,248.5,51.64,121.81
25,Own,2980.28,248.36,0.0,101.62,172.74,78.11,63.09
26,Own,1643.99,137.0,0.0,162.1,180.67,53.7,74.6
27,Own,1287.51,107.29,66.28,190.48,237.11,55.83,95.36
28,Own,2983.64,248.64,0.0,82.35,198.93,53.92,105.56
29,Rent,1567.6,0.0,0.0,20.03,235.87,117.27,186.12
30,Rent,1152.49,0.0,0.0,20.31,193.16,109.09,132.45
