personID,clothing,personalCare,householdSupplies,childcare,petExpenses
1,103.46,104.34,130.23,0.0,0.0
2,171.33,66.57,126.2,0.0,0.0
3,71.65,141.73,154.24,0.0,0.0
4,383.77,86.06,107.14,0.0,0.0
5,53.46,178.72,182.83,890.46,72.68
6,152.52,284.59,167.27,0.0,0.0
7,91.84,140.91,94.46,0.0,0.0
8,148.87,101.65,78.51,0.0,118.35
9,102.87,45.85,120.34,0.0,0.0
10,131.87,139.31,80.33,1666.17,0.0
11,58.47,50.54,130.75,0.0,0.0
12,123.25,138.44,134.27,0.0,0.0
13,167.49,64.89,91.04,0.0,124.27
14,45.06,261.1,210.69,0.0,76.34
15,155.68,308.19,200.16,936.86,0.0
16,219.15,148.46,109.96,922.33,185.16
17,42.56,131.86,102.39,0.0,110.69
18,79.23,131.12,97.91,0.0,0.0
19,149.9,132.74,97.36,1921.27,0.0
20,263.24,156.73,122.98,1231.8,151.01
21,40.9,202.07,110.57,825.0,0.0
22,140.63,91.68,136.02,0.0,0.0
23,178.83,138.37,170.77,1107.66,0.0
24,87.32,125.63,65.01,0.0,141.18
25,147.63,60.36,119.46,0.0,0.0
26,56.54,77.27,112.75,0.0,0.0
27,52.89,138.73,74.45,0.0,0.0
28,177.29,191.54,102.84,0.0,141.03
29,128.47,113.14,177.26,0.0,0.0
30,72.72,130.97,136.28,0.0,0.0
31,264.24,153.04,115.06,1694.93,187.58
32,77.28,223.1,193.96,0.0,0.0
33,295.16,103.72,85.23,0.0,153.14
34,82.78,103.14,76.69,0.0,131.11
35,54.46,126.59,181.61,0.0,0.0
36,166.42,168.12,106.09,821.76,0.0
37,77.82,51.84,68.35,0.0,0.0
38,66.53,125.46,123.56,0.0,82.02
39,129.96,182.11,198.91,0.0,0.0
40,217.49,379.84,201.47,0.0,0.0
41,80.99,110.47,105.4,0.0,0.0
42,131.27,141.91,145.42,0.0,122.75
43,86.95,86.1,78.6,0.0,61.61
44,60.48,114.3,129.34,0.0,0.0
45,278.64,143.48,171.34,1057.38,0.0
46,108.37,205.52,206.45,0.0,99.6
47,140.45,118.27,157.67,854.65,0.0
48,39.0,186.84,142.67,1041.73,62.24
49,107.18,143.78,85.92,1251.55,0.0
50,143.5,173.97,105.1,0.0,130.89
51,140.42,104.08,140.02,0.0,134.63
52,181.2,54.76,66.59,0.0,111.38
53,81.36,64.16,101.06,0.0,0.0
54,146.38,122.85,187.4,1545.59,110.18
55,112.39,92.5,158.73,0.0,0.0
56,151.6,124.43,158.98,0.0,0.0
57,133.54,65.04,53.2,0.0,117.23
58,79.81,44.4,137.7,0.0,0.0
59,220.29,135.39,76.86,0.0,189.17
60,103.61,109.14,160.47,0.0,0.0
61,83.11,158.56,88.51,1110.46,0.0
62,102.61,188.48,127.99,0.0,130.08
63,88.56,120.16,102.34,0.0,125.21
64,381.22,85.36,96.11,0.0,0.0
65,93.68,201.67,178.28,0.0,0.0
66,124.39,161.59,163.52,0.0,0.0
67,56.95,85.16,77.95,0.0,0.0
68,170.58,164.63,119.03,0.0,0.0
69,38.67,238.16,103.15,0.0,147.13
70,70.56,69.27,93.91,0.0,0.0
71,61.68,132.18,133.2,1494.94,0.0
72,55.03,149.75,117.04,0.0,64.14
73,308.72,184.38,142.46,0.0,0.0
74,60.02,59.52,49.42,0.0,126.2
