personID,retirement401k,iraContribution,emergencyFundContributions,generalSavings,investmentContributions,contributions529
1,0.0,0.0,0.0,143.09,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,563.03,0.0,391.92,0.0
5,180.84,0.0,74.07,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,252.82,0.0,0.0,0.0,0.0,0.0
8,553.96,0.0,0.0,0.0,0.0,0.0
9,384.22,0.0,135.2,210.18,0.0,0.0
10,182.37,0.0,170.66,0.0,0.0,0.0
11,0.0,0.0,0.0,60.62,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,106.87,0.0,0.0
14,0.0,0.0,187.6,0.0,0.0,0.0
15,0.0,0.0,699.83,0.0,0.0,179.87
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,276.77,176.84,638.39,944.65,0.0
21,0.0,0.0,259.39,0.0,0.0,0.0
22,200.6,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,454.67,0.0,302.72
24,0.0,0.0,192.27,328.46,0.0,0.0
25,292.4,0.0,0.0,0.0,0.0,0.0
26,312.41,0.0,0.0,94.17,0.0,0.0
27,0.0,0.0,0.0,142.3,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,148.41,0.0,0.0
30,0.0,0.0,0.0,155.85,0.0,0.0
31,0.0,0.0,807.59,465.51,0.0,337.27
32,201.69,0.0,0.0,320.52,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,198.53,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,270.93,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,208.21,0.0,0.0,0.0
39,444.1,0.0,0.0,142.35,0.0,0.0
40,0.0,0.0,545.71,473.36,0.0,0.0
41,192.08,0.0,303.68,311.6,0.0,0.0
42,0.0,0.0,250.42,0.0,0.0,0.0
43,221.19,475.46,0.0,326.71,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,73.11,0.0,0.0
49,264.98,0.0,0.0,261.61,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,149.12,222.49,0.0,0.0
52,0.0,287.19,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,223.92,0.0,0.0,0.0
55,424.05,0.0,0.0,0.0,0.0,0.0
56,410.54,0.0,334.04,0.0,0.0,0.0
57,0.0,0.0,272.34,0.0,315.35,0.0
58,145.94,0.0,220.33,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,850.52,0.0
60,0.0,0.0,614.62,204.9,0.0,0.0
61,635.26,0.0,0.0,0.0,0.0,0.0
62,395.76,0.0,0.0,0.0,0.0,0.0
63,520.71,0.0,480.57,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,190.63,0.0,0.0,0.0
67,0.0,0.0,134.33,142.17,0.0,0.0
68,432.72,0.0,180.56,0.0,0.0,0.0
69,0.0,0.0,135.72,171.8,0.0,0.0
