personID,streaming,musicStreaming,gaming,gym,otherSubscriptions
1,56.83,0.0,0.0,0.0,56.62
2,10.14,0.0,0.0,0.0,0.0
3,31.8,0.0,0.0,61.16,36.69
4,12.69,15.39,0.0,0.0,0.0
5,40.0,13.76,0.0,0.0,0.0
6,28.41,0.0,0.0,94.44,0.0
7,36.48,0.0,0.0,42.64,0.0
8,14.82,0.0,0.0,0.0,0.0
9,25.33,14.06,0.0,92.57,0.0
10,24.01,0.0,0.0,0.0,0.0
11,26.19,12.89,0.0,0.0,2.93
12,24.4,11.79,0.0,0.0,0.0
13,26.5,0.0,0.0,0.0,0.0
14,55.74,10.35,25.12,0.0,58.35
15,56.31,0.0,0.0,0.0,0.0
16,56.36,13.03,27.85,0.0,0.0
17,40.44,0.0,19.06,0.0,0.0
18,42.93,0.0,0.0,0.0,0.0
19,41.17,12.13,0.0,0.0,0.0
20,26.46,0.0,43.3,67.58,0.0
21,12.74,0.0,0.0,0.0,0.0
22,59.47,10.44,30.37,0.0,0.0
23,26.78,15.23,54.47,0.0,54.1
24,46.05,0.0,0.0,0.0,32.79
25,53.2,0.0,0.0,0.0,0.0
26,20.67,0.0,0.0,0.0,0.0
27,56.76,12.39,52.94,0.0,0.0
28,12.94,12.94,0.0,0.0,12.65
29,31.39,11.92,0.0,53.05,0.0
30,47.09,12.99,0.0,0.0,0.96
31,23.77,0.0,0.0,84.2,0.0
32,39.87,12.2,0.0,0.0,0.0
33,48.05,13.89,0.0,76.66,0.0
34,11.72,0.0,0.0,0.0,0.0
35,38.85,16.26,0.0,0.0,0.0
36,26.7,16.45,0.0,0.0,0.0
37,57.63,10.95,0.0,0.0,0.0
38,41.8,0.0,0.0,0.0,0.0
39,14.83,0.0,0.0,76.47,0.0
40,57.83,15.86,0.0,76.49,0.0
41,31.5,12.44,0.0,0.0,0.0
42,29.58,0.0,0.0,0.0,0.0
43,35.81,0.0,0.0,51.06,0.0
44,37.15,13.18,0.0,0.0,31.57
45,25.46,13.31,0.0,40.55,0.0
