personID,ownsCar,carPayment,carInsurance,gas,publicTransit,carMaintenance
1,True,0.0,208.33,215.75,0.0,108.47
2,True,709.76,199.53,109.26,0.0,95.03
3,True,385.91,156.75,240.39,0.0,91.4
4,True,912.47,229.91,235.68,0.0,143.89
5,True,382.12,199.61,253.79,0.0,110.08
6,True,0.0,167.55,270.32,181.69,131.63
7,True,0.0,234.8,118.6,0.0,145.38
8,True,0.0,249.51,152.84,0.0,131.01
9,True,777.33,127.52,169.08,0.0,144.3
10,False,0.0,0.0,0.0,133.58,0.0
11,True,0.0,240.32,113.21,0.0,125.93
12,True,0.0,120.31,62.4,0.0,67.01
13,False,0.0,0.0,0.0,94.59,0.0
14,True,0.0,146.67,262.13,0.0,72.69
15,True,0.0,125.43,170.79,0.0,69.39
16,True,0.0,239.88,256.6,0.0,82.21
17,True,0.0,218.72,115.09,0.0,85.5
18,True,688.93,126.95,240.97,0.0,131.12
19,False,0.0,0.0,0.0,86.8,0.0
20,True,0.0,202.36,141.65,0.0,86.09
21,True,0.0,135.62,272.99,0.0,122.72
22,True,0.0,217.68,291.34,0.0,140.38
23,True,0.0,173.18,261.44,0.0,61.46
24,True,0.0,126.73,60.5,0.0,50.03
25,True,0.0,227.82,140.88,0.0,138.87
26,True,0.0,194.41,271.17,0.0,73.83
27,False,0.0,0.0,0.0,106.82,0.0
28,True,880.64,220.47,168.38,0.0,65.34
29,True,529.5,207.69,173.0,0.0,79.52
30,True,388.53,176.47,201.53,0.0,68.6
31,True,0.0,210.83,159.77,0.0,129.37
32,True,0.0,121.92,159.9,0.0,113.45
33,True,1224.01,164.17,127.55,0.0,66.73
34,True,306.86,221.12,197.78,0.0,108.36
35,True,0.0,176.31,89.14,0.0,70.81
36,True,635.46,235.36,219.56,0.0,69.76
37,True,0.0,199.44,157.15,0.0,109.54
38,True,0.0,242.49,243.83,0.0,116.47
39,True,0.0,192.5,285.42,0.0,84.62
40,True,0.0,185.06,177.1,0.0,126.34
41,True,0.0,145.64,57.28,0.0,133.72
42,True,0.0,221.25,132.01,0.0,141.63
43,True,0.0,209.97,44.5,0.0,112.61
44,True,0.0,179.9,174.72,0.0,72.0
45,True,966.21,131.32,200.49,0.0,124.85
46,True,0.0,136.34,158.78,0.0,60.78
47,True,1228.34,134.88,112.01,0.0,68.12
48,True,264.07,168.83,189.8,0.0,133.28
49,False,0.0,0.0,0.0,121.69,0.0
50,True,532.12,140.67,154.11,0.0,141.08
51,False,0.0,0.0,0.0,110.7,0.0
52,True,0.0,231.91,239.5,0.0,56.67
53,True,887.35,236.91,165.66,0.0,81.21
54,True,0.0,231.38,291.56,0.0,112.92
55,True,464.21,199.15,172.2,0.0,143.86
56,False,0.0,0.0,0.0,135.4,0.0
57,True,1106.54,197.53,159.21,0.0,107.07
58,True,594.61,235.82,195.64,0.0,132.1
59,True,0.0,172.82,153.97,0.0,142.28
60,True,954.98,128.1,154.61,0.0,101.9
61,True,0.0,181.15,236.81,0.0,124.04
62,True,0.0,191.98,283.94,105.07,116.24
63,True,692.18,191.43,210.38,0.0,117.14
64,False,0.0,0.0,0.0,112.41,0.0
65,True,0.0,140.67,124.17,0.0,101.71
66,True,349.39,221.84,287.19,166.68,112.32
67,True,0.0,215.16,159.22,0.0,105.44
68,True,0.0,149.88,221.0,0.0,113.77
69,True,0.0,191.66,187.89,0.0,100.52
70,True,0.0,179.03,82.9,0.0,72.25
71,True,0.0,121.0,132.86,0.0,119.36
72,True,430.67,155.77,231.77,0.0,88.4
73,True,1658.69,181.36,217.99,0.0,62.77
74,True,377.98,229.85,179.04,0.0,135.13
75,True,387.73,223.87,153.83,0.0,68.13
76,True,0.0,139.63,263.65,0.0,104.07
77,True,826.03,180.16,157.65,0.0,122.11
78,True,0.0,159.6,214.66,0.0,114.77
79,True,0.0,172.19,180.28,0.0,66.09
80,True,0.0,190.28,291.8,0.0,69.41
81,True,0.0,184.91,258.37,0.0,64.88
82,True,557.62,138.4,219.43,0.0,57.25
83,True,0.0,135.82,176.18,0.0,78.33
84,True,0.0,136.93,258.19,0.0,102.41
85,True,1075.81,229.37,78.08,0.0,67.3
86,False,0.0,0.0,0.0,94.75,0.0
87,True,1794.98,122.59,255.69,0.0,147.09
88,True,330.48,146.31,161.66,0.0,119.88
89,True,784.12,244.27,242.45,0.0,108.34
90,True,0.0,128.58,297.05,0.0,118.14
91,True,445.91,124.72,182.13,138.7,93.6
92,True,3188.86,170.35,71.71,0.0,96.99
93,True,0.0,139.66,114.77,0.0,138.87
94,True,641.75,193.55,217.84,0.0,122.19
95,True,0.0,164.02,106.77,0.0,108.82
96,True,457.22,147.17,201.09,0.0,145.02
97,True,2257.78,249.82,266.43,0.0,116.26
98,True,650.86,164.34,103.62,0.0,89.87
99,True,0.0,203.33,198.03,0.0,54.75
100,True,0.0,233.63,244.46,0.0,89.07
101,True,0.0,239.91,175.88,0.0,142.48
102,True,0.0,173.32,186.8,0.0,54.46
103,True,0.0,246.9,46.93,0.0,68.46
104,True,825.23,214.19,180.55,0.0,130.87
105,True,0.0,195.83,185.52,0.0,86.5
106,True,0.0,210.13,151.07,0.0,68.59
107,True,0.0,166.82,179.89,0.0,131.57
108,True,0.0,175.17,228.54,0.0,105.84
109,True,1065.7,196.21,190.71,0.0,104.85
110,True,0.0,162.49,262.04,0.0,79.38
111,True,582.94,219.95,173.74,0.0,117.51
112,True,0.0,152.64,102.4,0.0,136.18
113,False,0.0,0.0,0.0,109.75,0.0
114,True,422.99,223.58,240.79,0.0,125.02
115,True,333.12,139.78,181.54,0.0,111.24
116,True,0.0,148.26,209.89,0.0,85.05
117,True,914.91,217.9,184.67,0.0,135.48
118,True,0.0,154.21,287.71,0.0,106.61
119,True,0.0,223.4,200.7,0.0,138.96
120,True,0.0,221.9,217.36,0.0,75.42
121,True,2049.8,153.45,185.23,0.0,115.43
122,True,0.0,129.5,162.73,0.0,143.52
123,True,0.0,141.63,60.5,0.0,87.41
124,True,635.43,217.83,169.5,0.0,145.13
125,True,0.0,230.11,202.75,0.0,89.25
126,True,0.0,169.8,267.15,0.0,93.77
127,True,606.72,141.35,154.89,0.0,130.64
128,True,554.6,129.81,185.33,0.0,76.08
129,True,0.0,148.06,169.72,0.0,120.59
130,True,0.0,247.36,56.12,0.0,79.84
131,True,562.2,142.14,284.15,0.0,109.38
132,True,873.97,131.2,206.03,0.0,127.6
133,True,1053.85,222.11,64.13,0.0,52.61
134,True,0.0,200.0,284.72,0.0,58.85
135,True,0.0,189.53,203.97,0.0,143.44
136,True,800.11,178.22,129.26,0.0,131.58
137,False,0.0,0.0,0.0,86.39,0.0
138,False,0.0,0.0,0.0,100.63,0.0
139,True,0.0,211.24,163.2,0.0,137.7
140,True,0.0,169.84,80.94,0.0,93.89
141,True,0.0,142.44,104.77,0.0,121.64
142,True,0.0,150.45,276.69,0.0,149.83
143,True,1348.52,229.36,258.41,0.0,93.25
144,True,0.0,141.4,151.04,0.0,134.68
145,True,0.0,189.42,44.68,0.0,57.93
146,True,0.0,210.05,259.65,0.0,104.39
147,True,0.0,203.05,291.36,0.0,83.32
148,True,0.0,200.44,254.3,0.0,102.31
149,True,327.84,206.13,118.09,0.0,61.41
150,True,0.0,233.84,166.13,0.0,86.77
151,True,432.44,167.5,170.16,0.0,57.65
152,True,0.0,201.57,164.85,197.45,95.31
153,True,1838.27,210.61,112.08,0.0,94.18
154,True,1532.13,196.74,147.74,0.0,82.97
155,True,0.0,190.3,71.4,0.0,144.83
156,True,0.0,205.12,118.21,0.0,58.29
157,True,0.0,175.18,171.34,0.0,132.49
158,True,0.0,229.93,291.65,0.0,85.49
159,True,0.0,183.64,168.74,101.27,69.93
